timestamp,day_type
2024-02-28,Work Day
2024-02-29,Work Day
2024-03-01,Work Day
2024-03-02,Week Day & Change Holiday
2024-03-03,Week Day & Change Holiday
2024-03-04,Work Day
2024-03-05,Work Day
2024-03-06,Work Day
2024-03-07,Work Day
2024-03-08,Work Day
2024-03-09,Week Day & Change Holiday
2024-03-10,Week Day & Change Holiday
2024-03-11,Work Day
2024-03-12,Work Day
2024-03-13,Work Day
2024-03-14,Work Day
2024-03-15,Work Day
2024-03-16,Week Day & Change Holiday
2024-03-17,Week Day & Change Holiday
2024-03-18,Work Day
2024-03-19,Work Day
2024-03-20,Work Day
2024-03-21,Work Day
2024-03-22,Work Day
2024-03-23,Week Day & Change Holiday
2024-03-24,Week Day & Change Holiday
2024-03-25,Work Day
2024-03-26,Work Day
2024-03-27,Work Day
2024-03-28,Work Day
2024-03-29,Work Day
2024-03-30,Week Day & Change Holiday
2024-03-31,Week Day & Change Holiday
2024-04-01,Work Day
2024-04-02,Work Day
2024-04-03,Work Day
2024-04-04,Tomb-sweeping Day
2024-04-05,Tomb-sweeping Day
2024-04-06,Tomb-sweeping Day
2024-04-07,Work Day
2024-04-08,Work Day
2024-04-09,Work Day
2024-04-10,Work Day
2024-04-11,Work Day
2024-04-12,Work Day
2024-04-13,Week Day & Change Holiday
2024-04-14,Week Day & Change Holiday
2024-04-15,Work Day
2024-04-16,Work Day
2024-04-17,Work Day
2024-04-18,Work Day
2024-04-19,Work Day
2024-04-20,Week Day & Change Holiday
2024-04-21,Week Day & Change Holiday
2024-04-22,Work Day
2024-04-23,Work Day
2024-04-24,Work Day
2024-04-25,Work Day
2024-04-26,Work Day
2024-04-27,Week Day & Change Holiday
2024-04-28,Work Day
2024-04-29,Work Day
2024-04-30,Work Day
2024-05-01,Labour Day
2024-05-02,Labour Day
2024-05-03,Labour Day
2024-05-04,Labour Day
2024-05-05,Labour Day
2024-05-06,Work Day
2024-05-07,Work Day
2024-05-08,Work Day
2024-05-09,Work Day
2024-05-10,Work Day
2024-05-11,Work Day
2024-05-12,Week Day & Change Holiday
2024-05-13,Work Day
2024-05-14,Work Day
2024-05-15,Work Day
2024-05-16,Work Day
2024-05-17,Work Day
2024-05-18,Week Day & Change Holiday
2024-05-19,Week Day & Change Holiday
2024-05-20,Work Day
2024-05-21,Work Day
2024-05-22,Work Day
2024-05-23,Work Day
2024-05-24,Work Day
2024-05-25,Week Day & Change Holiday
2024-05-26,Week Day & Change Holiday
2024-05-27,Work Day
2024-05-28,Work Day
2024-05-29,Work Day
2024-05-30,Work Day
2024-05-31,Work Day
2024-06-01,Week Day & Change Holiday
2024-06-02,Week Day & Change Holiday
2024-06-03,Work Day
2024-06-04,Work Day
2024-06-05,Work Day
2024-06-06,Work Day
2024-06-07,Work Day
2024-06-08,Week Day & Change Holiday
2024-06-09,Week Day & Change Holiday
2024-06-10,Dragon Boat Festival
2024-06-11,Work Day
2024-06-12,Work Day
2024-06-13,Work Day
2024-06-14,Work Day
2024-06-15,Week Day & Change Holiday
2024-06-16,Week Day & Change Holiday
2024-06-17,Work Day
2024-06-18,618
2024-06-19,Work Day
2024-06-20,Work Day
2024-06-21,Work Day
2024-06-22,Week Day & Change Holiday
2024-06-23,Week Day & Change Holiday
2024-06-24,Work Day
2024-06-25,Work Day
2024-06-26,Work Day
2024-06-27,Work Day
2024-06-28,Work Day
2024-06-29,Week Day & Change Holiday
2024-06-30,Week Day & Change Holiday
2024-07-01,Work Day
2024-07-02,Work Day
2024-07-03,Work Day
2024-07-04,Work Day
2024-07-05,Work Day
2024-07-06,Week Day & Change Holiday
2024-07-07,Week Day & Change Holiday
2024-07-08,Work Day
2024-07-09,Work Day
2024-07-10,Work Day
2024-07-11,Work Day
2024-07-12,Work Day
2024-07-13,Week Day & Change Holiday
2024-07-14,Week Day & Change Holiday
2024-07-15,Work Day
2024-07-16,Work Day
2024-07-17,Work Day
2024-07-18,Work Day
2024-07-19,Work Day
2024-07-20,Week Day & Change Holiday
2024-07-21,Week Day & Change Holiday
2024-07-22,Work Day
2024-07-23,Work Day
2024-07-24,Work Day
2024-07-25,Work Day
2024-07-26,Work Day
2024-07-27,Week Day & Change Holiday
2024-07-28,Week Day & Change Holiday
2024-07-29,Work Day
2024-07-30,Work Day
2024-07-31,Work Day
2024-08-01,Work Day
2024-08-02,Work Day
2024-08-03,Week Day & Change Holiday
2024-08-04,Week Day & Change Holiday
2024-08-05,Work Day
2024-08-06,Work Day
2024-08-07,Work Day
2024-08-08,Work Day
2024-08-09,Work Day
2024-08-10,Week Day & Change Holiday
2024-08-11,Week Day & Change Holiday
2024-08-12,Work Day
2024-08-13,Work Day
2024-08-14,Work Day
2024-08-15,Work Day
2024-08-16,Work Day
2024-08-17,Week Day & Change Holiday
2024-08-18,818
2024-08-19,Work Day
2024-08-20,Work Day
2024-08-21,Work Day
2024-08-22,Work Day
2024-08-23,Work Day
2024-08-24,Week Day & Change Holiday
2024-08-25,Week Day & Change Holiday
2024-08-26,Work Day
2024-08-27,Work Day
2024-08-28,Work Day
2024-08-29,Work Day
2024-08-30,Work Day
2024-08-31,Week Day & Change Holiday
2024-09-01,Week Day & Change Holiday
2024-09-02,Work Day
2024-09-03,Work Day
2024-09-04,Work Day
2024-09-05,Work Day
2024-09-06,Work Day
2024-09-07,Week Day & Change Holiday
